Высокий	пер.					
Вышелесского	пер.	Вышалескага				
Вышелесского	ул.	Вышалескага				
Гагарина	ул.					
Гало	ул.					
Гамарника	ул.					
Гашкевича	ул.					
Гастелло	ул.					
Гая	ул.					
Гвардейская	ул.					
Гвардейский	пер.					
Герасименко	ул.	Герасіменка	Заводской			
Германовский	пер.					
Герцена	ул.					
Геологическая	ул.					
Геологический	пер.					
Героев 120 дивизии	ул.					
Гикало	ул.	Гікала				
Гинтовта	ул.					
Глаголева	ул.					
Глаголева 2-й	пер.					
Глаголева 3-й	пер.					
Петра Глебки	ул.					
Глинище	проезд					
Гоголевская	ул.					
Голодеда	ул.					
Голодеда	проезд					
Голубева	ул.					
Голубка	ул.	Уладзіслава Галубка				
Гомельский	пер.					
Горный	пер.					
Богдановича	ул.					
Горовца	ул.					
Городецкая	ул.					
Горная	ул.					
Горбатова	ул.					
Горецкого	ул.					
Гребельки	ул.					
Грекова	ул.					
Грекова 1-й	пер.					
Грекова 2-й	пер.					
Грибоедова	ул.					
Грибной	пер.					
Грицевца	ул.					
Гродненская	ул.					
Громова	ул.					
Грушевская	ул.					
Грушевский	пер.					
Гурского	ул.					
Гусовского	ул.					
Гуртьева	ул.		Первомайский			
Дальний	пер.					
Даумана	ул.					
Дачный	пер.					
Дачная	ул.					
Двинская	ул.					
Дворищи	ул.					
Дежнева	ул.					
Декабристов	ул.					
Денисовская	ул.					
Денисовский	пер.					
Дзержинского просп.	просп.	Дзяржынскага	Московский		
Деповский	пер.					
Детский 1-й	пер.					
Детский 2-й	пер.					
Детский 3-й	пер.					
Детдомовская	ул.					
Димитрова	пер.					
Димитрова	ул.					
Днепровская	ул.					
Днепровский	пер.					
Днепровский	проезд					
Добромысленский	пер.					
Доватора	ул.	Даватара				
Докучаева	ул.					
Долгиновский 2-й	пер.					
Долгиновский 3-й	пер.					
Долгиновский 4-й	пер.					
Долгиновский	проезд					
Домашевская	ул.					
Домашевский 4-й	пер.					
Домейко	ул.					
Дорошевича	ул.	Дарашэвіча				
Достоевского	ул.					
Достоевского	пер.					
Домашевский	пер.					
Долгиновский тракт					
Долгобродская	ул.					
Дружная	ул.	Дружная				
